construct_id,level,display_label,plain_language_label,what_it_captures,sample_item_1,sample_item_2,sample_item_source,studies_fielded,theoretical_heritage,reliability_min,reliability_max,reliability_median,reliability_source,reliability_n_values
ABAND,higher-order,Distrust / betrayal / abandonment affective composite,Sense of being abandoned by the people who should protect us,"Anger, disappointment, and frustration aimed at one's own state, allies, and mainstream media for failing to protect citizens' interests.","In general, I distrust our international allies.",I feel disappointed by the actions of the international allies in protecting my country.,item_mapping_overview / DISTRUST/BETRAYAL/ABANDONMENT / S5,"S2, S3, S4, S5","Institutional trust & political grievance (OECD, 2017; Akkerman et al., 2014)",0.757354162484261,0.8722327212791087,0.8087223253863052,scale_diagnostics,8
ABAND_LONG,higher-order,Abandonment composite (S4 long form),Sense of being abandoned — long form,"S4 long-form ABAND block (eight indicators): same construct as ABAND, extended for invariance estimation.","In general, I distrust our international allies.",I feel disappointed by the actions of the international allies in protecting my country.,item_mapping_overview / DISTRUST/BETRAYAL/ABANDONMENT / S4,S4,"Institutional trust & political grievance (OECD, 2017; Akkerman et al., 2014)",0.8675674352379117,0.8694668899882797,0.8685171626130956,scale_diagnostics,2
FEAR,higher-order,Fear / pragmatic-accommodation affective composite,Anxiety-driven openness to making peace at any cost,Tension and anxiety about conflict with Russia / China that translates into willingness to accommodate those powers rather than confront them.,I feel tense when thinking about potential conflicts with countries like Russia or China.,I would feel safer if peace with countries like Russia is struck at any cost.,item_mapping_overview / FEAR / S5,"S1, S5","Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.7932764056759232,0.8386620177014779,0.8141494696171663,scale_diagnostics,4
GEN,higher-order,General DisInformeter anchor,Overall affective stance toward national protection and rival powers,Cross-cutting affective items used as the global DisInformeter anchor in S4 / S5; primarily a trust / sympathy index toward Russia / China and one's own state's external protection.,I have a very negative feeling about how my state handles external threats.,I dislike the actions of our international allies in ensuring the safety of my state.,item_mapping_overview / GENERAL / S5,"S4, S5",Composite affective anchor (DisInforMeter; see report §The Instrument),0.570230202609825,0.656379807250302,0.6380597854422974,scale_diagnostics,4
PRAG,higher-order,Pragmatic accommodation toward foreign powers (S2/S3/S4),Conflict-avoidance accommodation toward Russia or China,Composite of cognitive pragmatism toward Russia and China — the cross-wave umbrella label used for FEAR before the S5 affective separation.,I feel tense when thinking about potential conflicts with countries like Russia or China.,I would feel safer if peace with countries like Russia or China is struck at any cost,item_mapping_overview / FEAR / S4,"S2, S3, S4","Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.7483884545267414,0.8353404671357408,0.7918708342662435,scale_diagnostics,4
PRAG_LONG,higher-order,Pragmatic accommodation (S4 long form),Conflict-avoidance accommodation — long form,S4 long-form PRAG block: cross-wave PRAG construct in the eight-indicator parameterisation for invariance estimation.,I feel tense when thinking about potential conflicts with countries like Russia or China.,I would feel safer if peace with countries like Russia or China is struck at any cost,item_mapping_overview / FEAR / S4,S4,"Threat-driven accommodation; affective intergroup threat (Stephan et al., 2009)",0.7126050358990452,0.7609988519983245,0.7368019439486848,scale_diagnostics,2
SUPF,higher-order,"Foreign-power admiration, Russia (affective)",Admiration of Russia,"Affective respect, hope, and inspiration directed at Russia as an alternative civilisational model (S2 / S3 fru* items).","To a certain extent, I admire Russia.","Sometimes, I feel inspired by the actions of Russia.",item_mapping_overview / SUPERIORITY / S3,"S2, S3",Outgroup attitudes / feeling-thermometer tradition,0.875079843534524,0.9402399581276738,0.9173691466975592,scale_diagnostics,4
SUP_GEN,higher-order,"Foreign-power admiration (general, S5)",Admiration of foreign powers — pooled,S5 pooled affective-admiration block combining the Russia and China items into one composite.,"To a certain extent, I admire China.","Sometimes, I feel inspired by the actions of China.",item_mapping_overview / SUPERIORITY / S5,S5,Outgroup attitudes / feeling-thermometer tradition,0.9249100329756064,0.934748933686954,0.9298294833312801,scale_diagnostics,2
THREAT,higher-order,Ideological-threat affective composite,Felt threat to our way of life,"Anger, worry, sadness, and disgust at perceived demographic, cultural, and value-erosion menace to the in-group.",I’m worried that our ways of life are sought to be destroyed.,"I am sad because our culture, language, and identity are disappearing.",item_mapping_overview / THREAT / S5,"S1, S2, S3, S4, S5","Intergroup threat theory (Stephan et al., 2009)",0.531330697994169,0.8504240624368562,0.7559316178780056,scale_diagnostics,10
THREAT_FT,higher-order,"Ideological threat (foreign exploitation facet, S5)",Threat felt about foreign-power exploitation,S5 facet of affective threat focused on perceived foreign-power encroachment / exploitation.,I’m worried that my country is being exploited by foreign countries.,I am angry when I think about how my country is being used by foreign countries.,item_mapping_overview / THREAT / S5,S5,"Intergroup threat theory (Stephan et al., 2009)",0.7081266359760104,0.7488062835672399,0.7284664597716252,scale_diagnostics,2
